videoId,title,description,publishedAt
I2zNylAtUUg,【ひろゆき】Fischer Tradition を飲むよ。 2018/08/16【早朝？】,Fischer Tradition を飲むよー。,2018-08-16T22:50:18Z
eeU31sff4bU,【ひろゆき】個人的に楽しくなるにはどうすればいいか会議。#4,いつもの行動を再評価してみよう。 口に出してみよう。 時間をかけてみよう。 の3本です。きっと。。。,2018-07-15T11:41:23Z
hfG52aO_yEo,【ひろゆき】ベーシックインカムを実現するにはどうしたらいいか会議 #27,ベーシックインカム、実現するのかね。。。,2018-08-17T19:22:05Z
7GIW-Bv6kPg,【ひろゆき】聞かれたことに答えてみようの回。07/12/2018,おもに機材チェックが目的だったりもします。。。,2018-07-11T19:51:23Z
YBNbEGs5BsM,【ひろゆき】GUINNESS® WEST INDIES PORTERを飲むよ。 2018/08/06,GUINNESS® WEST INDIES PORTERを飲みつつ雑談をする放送.,2018-08-05T17:59:26Z
fDd-292sUa4,【ひろゆき】だらだらと雑談しませう。 07/29/2018,だらだらと雑談しませう。,2018-07-28T22:16:48Z
yark2N-NwSg,【ひろゆき】聞かれたことに答えてみようの回。08/03/2018 HD,聞かれたことに答えてみようの回ふたたび。,2018-08-03T19:57:04Z
Bvn3p7dlBrM,【ひろゆき】STRONG ZEROを飲むよ。,そんなわけで、雑談をしながら、ストロングゼロを飲みますよ。,2018-09-20T19:33:53Z
wvyyhxP2ErE,【ひろゆき】PARISIS ビールを飲みながら、サマータイムに文句をいう雑談。2018/08/07,平日にだらだらと雑談。,2018-08-07T18:30:44Z
K9Rlup2F0W8,【ひろゆき】深夜の機材テスト放送　07/27/2018,いろいろテスト。。。,2018-07-26T20:07:40Z
