videoId,title,description,publishedAt
zqUeszhcm2Q,【ひろゆき】予告ホームランはマインドコントロール。Deck &amp; Donohue IPAを呑みながら。2020/05/29 V04,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。。。,2020-05-28T21:24:02Z
pj8Lx_ogFrY,【ひろゆき】正義が金に負けるのをほっとく人達。Fischer Doreleiを呑みながら。2020/06/06 S01,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。。。,2020-06-05T18:59:01Z
UCg5qaYUq-E,【ひろゆき】高齢者が出歩けない社会にする方針の様子。BrewDog Elvis Juiceを呑みながら。2020/05/19 M03,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2020-05-18T20:09:06Z
d1Q70hmB4Zc,【ひろゆき】ベーシックインカムを実現するにはどうしたらいいか会議 #30 2020/04/17 V00,ベーシックインカムを実現するにはどうしたらいいか会議なんですけど、雑談率高いと思います。。。 日本国籍を持ってる人なら誰でも毎月7万円貰えるベーシックインカムを ...,2020-04-16T17:50:22Z
7_oYIdsripM,【ひろゆき】生活保護かベーシックインカムで人助け。MEANTIME LONDON PALE ALEを呑みながら。2020/04/13 L06,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2020-04-12T23:23:48Z
MrVxUWNBRts,【ひろゆき】フグを食べても死ななかった人の証言。Galliaを呑みながら。2020/05/27 M00,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。。。,2020-05-26T17:15:01Z
pQN3toDe6Lw,【ひろゆき】自身を理解し切れるのは傲り。他者は安んぞ。Pilsner Urquellを呑みながら。2020/06/10 M04,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。。。,2020-06-09T21:20:14Z
lT3iNMVUHdg,【ひろゆき】twitterのRTで33万円の賠償金だって。Elvis Juice - BrewDogを呑みながら。2020/06/24 W06,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。。。,2020-06-23T23:16:02Z
raANNTAA1Dw,【ひろゆき】水の中で大声を出すと溺れる。Grimbergenを呑みながら。2020/06/18 J00,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。。。,2020-06-17T17:38:54Z
7Cb5Tk7iuTM,【ひろゆき】アホを騙して誘導するのは正義？。NYA Carnegie J.A.C.K. IPA を呑みながら。2020/04/07 M06,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2020-04-06T22:57:34Z
KYcNzS6sjlo,【ひろゆき】コロナウイルスに銀の弾丸は無さそう。 Carlsberg 1883を呑みながら。2020/06/20 S00,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。。。,2020-06-19T16:41:15Z
cm6yEQAZlgE,【ひろゆき】ウイルスじゃないほうのコロナを飲むよ。 2020/05/09 S02,ベーシックインカムを実現するにはどうしたらいいか会議なんですけど、雑談率高いと思います。。。 日本国籍を持ってる人なら誰でも毎月7万円貰えるベーシックインカムを ...,2020-05-08T19:57:40Z
0VnYnWNT4Dk,【ひろゆき】日本は税金7年で時効でしたよ。La CHOUFFEを呑みながら。2020/06/22 M01,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。。。,2020-06-21T19:06:08Z
JoEq5uaGT0c,"kecak bali, indonesia 2014",Kecak Dance.,2020-06-15T04:33:45Z
LiPRD6wMtgc,Honolulu Marathon 2012,,2020-06-26T10:54:32Z
Qli1xPwUuQY,Stilt dance act in Frankfurt motor show 2011,Stilt dance act.,2020-06-17T18:24:48Z
kujYZVVrZ2Q,Miniatur Wunderland Hamburg,,2020-06-20T05:32:18Z
Ym2dDszksZI,Space Shuttle Discovery Launch 2011/02/24,Discovery lifted-off from NASA's Kennedy Space Center for its 39th and final mission. And a wild crocodile.,2020-06-19T14:00:10Z
