videoId,title,description,publishedAt
qHVh9nS2Ndc,【ひろゆき】34度でクーラーの無い生放送。Lagunitas Daytimeを呑みながら 2019/06/29 S22,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-06-29T14:59:41Z
IK3k3AsopS0,【ひろゆき】好意の反対は無関心。 Briarde Blondeを呑みながら 2019/05/28 M21,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-05-28T14:42:16Z
_DaYTInlpsc,【ひろゆき】「戦争」は勝てるときだけ。  Ninkasi Blanche を呑みながら 2019/05/14 M15,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-05-14T08:02:55Z
709Am6TFADQ,【ひろゆき】腰痛には高学歴が効く。 Goutte d&#39;Or LA CHAPELLE を呑みながら 2019/05/26 D19,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-05-26T12:04:01Z
1BEpZ1RVaF8,【ひろゆき】金庫は金庫に見えないほうが良い。CHIMAY BLUEを呑みながら 2019/06/08 S00,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-06-07T17:14:32Z
Re44Aid08V0,【ひろゆき】団地は鍵しめないよね。 Lagunitas IPAを呑みながら 2019/06/02 D06,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-06-01T23:51:28Z
ySGfCgRn_sA,【ひろゆき】器用貧乏は報われないものなんかね。POLAR MONKEYS IPA を呑みながら 2019/04/04,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-04-03T17:56:27Z
2D4FiY2k78E,【ひろゆき】GWって忙しくなかった？ Ninkasi Blanche を呑みながら 2019/05/13 L13,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-05-13T06:03:09Z
bvcLkFtNvV4,【ひろゆき】鶴亀算は有害。SAER BRAUを呑みながら 2019/06/13 J23,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-06-13T16:10:34Z
J8lOatYuuwg,【ひろゆき】バカの考え、休むほうがマシ。。Ninkasi Blanche を呑みながら 2019/04/11 J07,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-04-11T00:45:39Z
aoo3ytJWYIc,【ひろゆき】梅雨らしいっすね。 BRIARDE IPAを呑みながら 2019/06/02 M00,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-06-03T17:14:30Z
7yYdYk7eibQ,【ひろゆき】めでたい改元は珍しいよね。おめおめ。BELLEROSE IPAを呑みながら 2019/04/03,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-04-02T22:36:51Z
zdOgXOl1mxc,【ひろゆき】格言は答えにあらず。 GALLIA HEFEWEISENを呑みながら 2019/06/16 D01,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-06-15T17:47:23Z
G0rQdW4YP1o,【ひろゆき】若干、肌寒くなった昨今。Goutte d&#39;Or Myrha を呑みながら 2019/04/06 S08,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-04-06T01:22:05Z
AZb18EgO8RQ,【ひろゆき】予習とかいうのって無駄じゃないの？ Chimay Bleueを呑みながら 2019/04/19 V03,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-04-18T20:25:58Z
B28GyGrr0-k,【ひろゆき】早起きは得しないし、体に悪いよね。。Lagunitas IPAを呑みながら 2019/04/14 D23,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-04-14T18:29:58Z
