videoId,title,description,publishedAt
y-aoEYWEgN8,【ひろゆき】聞かれたことに答えてみようの回。Cambridgeshire Golden Ale飲みつつ。　2018/11/12,相変わらずの雑談なんですけどね。,2018-11-11T20:04:37Z
w4qMp1A0EJY,【ひろゆき】聞かれたことに答えてみようの回。Mort subite Witte Lambic を飲みつつ。2018/12/01,働いてない皆さんと、働かなくていい皆さん。こんにちは。,2018-12-01T01:44:58Z
WMfZzNhluZc,【ひろゆき】努力を他人に求めるのは良くないと思うよの回。Bière la petite mademoiselle を飲みつつ。2018/12/15,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2018-12-15T02:06:26Z
Kf_1tTPi2UE,【ひろゆき】赤羽を自慢してみようの回。Bière de garde blonde du Nord  を飲みつつ。2018/12/13,働いてない皆さんと、働かなくていい皆さん。こんにちは。 ということで、ビールを飲みながら雑談をする生放送です。,2018-12-13T02:45:22Z
RWtrKITl9pg,【ひろゆき】BAPBAP Vertigoを飲むよ。,そんなわけで、雑談をしながら、BAPBAP Vertigoを飲みますよ。 India Pale Ale (IPA)です。,2018-11-07T07:43:43Z
RpRZq5N-J5w,【ひろゆき】聞かれたことに答えてみようの回。Pelforth Blonde を飲みつつ。2018/11/25,酔っ払い雑談。,2018-11-25T04:20:45Z
tZ-Njz7WK9c,【ひろゆき】ベーシックインカムを実現するにはどうしたらいいか会議 #29,ベーシックインカムを実現するにはどうしたらいいか会議なんですけど、雑談率高いと思います。。。 日本国籍を持ってる人なら誰でも毎月7万円貰えるベーシックインカムを ...,2018-12-05T02:51:28Z
yGA00ifqbsY,【ひろゆき】聞かれたことに答えてみようの回。Oak Matured Vintage Cider を飲みつつ。2018/11/17,飲んだくれ雑談の確率高し。,2018-11-17T04:19:27Z
lHpiXbEHqbA,【ひろゆき】聞かれたことに答えてみようの回。Cheshire Chocolate Porter飲みつつ。　2018/11/10,まぁ、たいてい雑談なんですけどね。,2018-11-09T21:11:18Z
qYY7ZsHZZb4,【ひろゆき】ベーシックインカムを実現するにはどうしたらいいか会議 #28,そんなわけで、ベーシックインカムを実現するにはどうしたらいいか会議 です。,2018-10-21T10:47:33Z
IyOQxuz1hmo,【ひろゆき】綺麗事だけ言う人って嘘つきか無責任だと思うですの回。 Pietra Ambrée を飲みつつ。2018/12/17,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けですよね。,2018-12-17T02:28:48Z
gYZEqr64lQc,【ひろゆき】聞かれたことに答えてみようの回。Rince Cochon  を飲みつつ。2018/12/09,働いてない皆さんと、働かなくていい皆さん。こんにちは。,2018-12-09T02:50:45Z
gSyx-8H67Bo,【ひろゆき】聞かれたことに答えてみようの回。Jenlain Ambrée を飲みつつ。2018/11/28,働いてない皆さんと、働かなくていい皆さん。こんにちは。,2018-11-29T01:15:08Z
