videoId,title,description,publishedAt
5CAhq00x7a0,【ひろゆき】反省って猿もするやつだよね。。La biere du Demonを呑みながら 2019/11/04 L09,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-11-04T02:55:21Z
Scp23D58DR0,【ひろゆき】あれ、来月って師走じゃない？。Hoegaarden Roséeを呑みながら 2019/11/01 V08,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-11-01T01:36:23Z
r_cicPJOtZg,【ひろゆき】原付が30km/h制限守ったら事故と渋滞増えるよね。Lagunitas 12th of Never Aleを呑みながら 2019/11/07 J09,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-11-07T01:49:40Z
VWpQYl1_9L4,【ひろゆき】10万登録超えたので、YouTubeから荷物が来た。licht &amp; lustigを呑みながら 2019/11/30 S20,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-11-30T13:28:21Z
cwN0Ftji8JE,【ひろゆき】便りがないのは元気な証拠。純米吟醸酒・伝心「雪」を呑みながら 2019/10/20 D22,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-10-21T19:02:15Z
GRKAeZmbhx0,North Korean people 2014,Photos 2014.,2019-12-19T16:28:02Z
cEWIjbRpyc4,Roma Fiumicino空港にて。,空港だよ。,2019-10-12T17:27:25Z
