videoId,title,description,publishedAt
iW0vgy4AdB0,"PARIS HAUSSMANN, Printemps","Printemps, PARIS HAUSSMANN en décembre 2016.",2017-09-07T18:10:51Z
tlKlMt58mbk,ひろゆき生放送テスト vol.1,higeoyaji https://www.youtube.com/watch?v=qGZZjhRXH-c.,2017-08-14T20:24:14Z
O6yq4eJZ5sE,Dual speed escalator,In Toronto airport.,2017-09-09T19:41:39Z
-sa2_ancT-M,ひげおやじと雑談,,2017-09-29T20:31:43Z
jHNdrk3D3xc,野生のペンギンに突かれた【ひろゆき】,南アフリカのボルダーズビーチです。,2017-08-14T15:49:28Z
53lKj3sRbx4,Pancake machine.,La machine à pancakes automatique à l'aéroport de Portland.,2017-09-11T20:15:38Z
IJh_ZF0Z5R8,Penguins at Boulders beach,Penguins at Boulders beach in South Africa.,2017-09-18T00:56:54Z
VM9cYT7sitE,Bloukrans Bridge Bungy,The world's highest commercial bridge bungy at 216 metres.,2017-09-24T18:06:01Z
K6MX6Nykors,La galerie Vivienne,,2017-09-06T18:42:25Z
