videoId,title,description,publishedAt
EtOAFlDvSCQ,【ひろゆき】出世のためには全肯定？ Ninkasi Blanche を呑みながら 2019/07/04 J16,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-07-04T08:51:56Z
T5dbYzZlJlQ,【ひろゆき】10万人登録おめでとうございます。Hoegaarden Wit-Blanche を呑みながら 2019/09/16 L22,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-09-16T18:31:25Z
UjiJvgCeGgU,【ひろゆき】面白きこともなき世を面白く。紀土 スパークリングを呑みながら 2019/07/21 D23,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-07-21T18:41:53Z
4Dc9e7XVhms,【ひろゆき】第2次大戦日本兵、死因の1位は餓死。DESPERADOSを呑みながら 2019/08/19 L00,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-08-18T17:13:44Z
qr4rdJ7zDb8,【ひろゆき】海外の投資家達曰く、不況が来るって。。Hoegaarden wit blancheを呑みながら 2019/08/15 J23,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-08-15T16:42:05Z
l7s8hv3CRc4,【ひろゆき】欠点のない人間は死なない。。Lagunitas IPAを呑みながら 2019/08/11 D22,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-08-11T14:59:47Z
572yEfxZhq0,【ひろゆき】朝鮮統一を止める国なくない？ Mikkeller Hair In The Mailboxを呑みながら 2019/08/29 W21,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-08-28T14:44:16Z
oAEAUrmL2JM,【ひろゆき】イギリスが階級社会なら日本も階級社会。Ch’ti Saisonを呑みながら 2019/08/22 J01,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-08-21T18:45:39Z
N5RtSvwn7GY,【ひろゆき】有名な作品って人死ぬの多いね。Paulaner Hefeweizen Naturtrübを呑みながら 2019/07/14 D09,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-07-14T01:25:23Z
mkumcSLgbHI,【ひろゆき】若者に投票を薦めるのはだいたい嘘つき。Mikkeller Hair In The Mailboxを呑みながら 2019/07/16 L01,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-07-15T18:56:09Z
rPL5MmdY0kk,【ひろゆき】政治家と経営者は戦争行かないよね。Cuvée des Trollsを呑みながら 2019/09/01 D22,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-09-01T15:45:52Z
q2b7L5GUX5c,【ひろゆき】勤勉を誇る先には非正規雇用。Hoegaarden Roséeを呑みながら 2019/08/09 V20,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-08-09T12:41:57Z
7amqYwS9KSk,【ひろゆき】イギリスのEU離脱はほぼ確定だって。 CHIMAY BLEUEを呑みながら 2019/08/30 V21,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-08-30T14:53:45Z
j4z_KvUbwfI,【ひろゆき】敵対してるのに同じことしてる人達。CERVOISE DES ANCÊTRESを呑みながら 2019/08/05 L20,ビールを飲みながらのしょうもない雑談です。 働かなくていい人と、働いてない人向けだと思ってください。,2019-08-05T12:54:54Z
